City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,62.01,84,100,3.0,overcast clouds
1,Hilo,US,19.7297,-155.09,68.0,83,90,5.75,light rain
2,Kushima,JP,31.4583,131.2333,71.6,68,75,21.85,broken clouds
3,Grand Baie,MU,-20.0182,57.5802,81.0,81,57,5.01,light rain
4,Broome,US,42.2506,-75.833,54.0,87,90,19.57,light rain
5,Butaritari,KI,3.0707,172.7902,81.09,78,82,7.54,light rain
6,Busselton,AU,-33.65,115.3333,61.0,96,100,8.01,overcast clouds
7,Pangkalanbuun,ID,-2.6833,111.6167,89.92,54,94,2.82,light rain
8,Cabo San Lucas,MX,22.8909,-109.9124,71.01,65,80,1.01,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,99,1.14,overcast clouds
10,Camacha,PT,33.0833,-16.3333,64.4,94,40,3.44,scattered clouds
11,Bandundu,CD,-3.3167,17.3667,69.76,95,98,1.83,overcast clouds
12,Torbay,CA,47.6666,-52.7314,32.0,93,90,5.75,overcast clouds
13,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,99,1.99,overcast clouds
14,Phalaborwa,ZA,-23.943,31.1411,62.6,88,0,4.61,clear sky
15,Bronnoysund,NO,65.4625,12.1997,32.0,93,69,2.3,broken clouds
16,Buchmany,UA,51.0689,28.0421,39.6,71,0,6.38,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,46.4,87,0,20.71,clear sky
18,Georgetown,MY,5.4112,100.3354,89.6,62,40,6.91,scattered clouds
19,Chapais,CA,49.7834,-74.8492,44.6,70,1,11.5,clear sky
20,Ostrovnoy,RU,68.0531,39.5131,30.11,78,7,22.59,clear sky
21,Lata,PT,40.1629,-8.3327,52.0,79,87,10.0,overcast clouds
22,Zhigansk,RU,66.7697,123.3711,16.23,73,40,9.26,scattered clouds
23,Vaini,TO,-21.2,-175.2,78.8,78,75,9.22,broken clouds
24,Upernavik,GL,72.7868,-56.1549,29.46,84,100,31.7,snow
25,Uarini,BR,-2.99,-65.1083,72.61,98,99,2.37,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,50.0,62,75,5.75,light rain
27,Yulara,AU,-25.2406,130.9889,78.8,25,47,10.36,scattered clouds
