City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-04-06 21:16:03,62.456,-114.3525,19.0,73,90,17.27
1,Okhotsk,RU,2021-04-06 21:16:04,59.3833,143.3,3.9,85,90,9.19
2,Lavrentiya,RU,2021-04-06 21:16:04,65.5833,-171.0,1.78,84,9,3.94
3,Mataura,NZ,2021-04-06 21:14:28,-46.1927,168.8643,54.0,84,100,5.99
4,Yarmouth,US,2021-04-06 21:16:04,41.7057,-70.2286,53.6,54,75,8.05
5,Vaini,TO,2021-04-06 21:16:05,-21.2,-175.2,78.8,78,20,6.91
6,Castro,BR,2021-04-06 21:16:05,-24.7911,-50.0119,62.83,89,60,4.23
7,Bredasdorp,ZA,2021-04-06 21:16:05,-34.5322,20.0403,57.2,94,67,1.14
8,Bluff,NZ,2021-04-06 21:16:06,-46.6,168.3333,54.0,84,100,4.0
9,Saskylakh,RU,2021-04-06 21:16:06,71.9167,114.0833,7.74,95,100,7.34
10,Khatanga,RU,2021-04-06 21:16:06,71.9667,102.5,-10.07,100,99,7.0
11,Mount Gambier,AU,2021-04-06 21:16:07,-37.8333,140.7667,46.4,100,75,3.44
12,Raudeberg,NO,2021-04-06 21:16:07,61.9875,5.1352,37.0,90,91,23.78
13,Sao Joao Da Barra,BR,2021-04-06 21:16:07,-21.6403,-41.0511,77.0,69,0,9.22
14,Busselton,AU,2021-04-06 21:16:07,-33.65,115.3333,59.0,97,73,5.53
15,Georgetown,MY,2021-04-06 21:16:08,5.4112,100.3354,79.0,94,20,2.3
16,La Ronge,CA,2021-04-06 21:16:08,55.1001,-105.2842,50.0,37,65,6.91
17,Kapaa,US,2021-04-06 21:16:09,22.0752,-159.319,78.8,47,20,21.85
18,Atuona,PF,2021-04-06 21:15:54,-9.8,-139.0333,80.67,79,68,10.6
19,Menongue,AO,2021-04-06 21:16:09,-14.6585,17.691,64.6,61,60,3.29
20,Adrar,MR,2021-04-06 21:16:09,20.5022,-10.0711,83.35,14,3,7.4
21,Luderitz,NA,2021-04-06 21:16:10,-26.6481,15.1594,61.48,86,1,13.15
22,Anadyr,RU,2021-04-06 21:16:10,64.75,177.4833,-9.0,77,0,6.71
23,Cowra,AU,2021-04-06 21:11:16,-33.8333,148.6833,55.99,90,8,1.01
24,Caravelas,BR,2021-04-06 21:16:10,-17.7125,-39.2481,75.7,69,2,5.3
25,Naryan-Mar,RU,2021-04-06 21:16:11,67.6713,53.087,33.33,84,44,16.75
26,Jiuquan,CN,2021-04-06 21:16:11,39.7432,98.5174,44.01,49,0,3.29
27,Cape Canaveral,US,2021-04-06 21:16:11,28.4058,-80.6048,77.0,38,1,9.22
28,Roald,NO,2021-04-06 21:16:12,62.5833,6.1333,39.2,75,75,16.11
29,Hermanus,ZA,2021-04-06 21:13:22,-34.4187,19.2345,59.0,90,30,1.01
30,Nome,US,2021-04-06 21:16:12,64.5011,-165.4064,12.2,52,1,7.23
31,Gladstone,AU,2021-04-06 21:16:13,-23.85,151.25,73.4,78,24,1.14
32,North Bend,US,2021-04-06 21:16:13,43.4065,-124.2243,63.0,66,1,20.71
33,Hirara,JP,2021-04-06 21:16:14,24.8,125.2833,68.74,66,0,24.14
34,Trincomalee,LK,2021-04-06 21:16:14,8.5711,81.2335,80.47,73,87,6.29
35,Longyearbyen,SJ,2021-04-06 21:15:18,78.2186,15.6401,10.4,48,20,12.66
36,Leningradskiy,RU,2021-04-06 21:16:14,69.3833,178.4167,-8.01,91,65,6.08
37,Alihe,CN,2021-04-06 21:16:15,50.5667,123.7167,19.9,44,0,9.71
38,Novikovo,RU,2021-04-06 21:16:15,51.1537,37.8879,42.24,74,49,7.7
39,Severo-Kurilsk,RU,2021-04-06 21:16:15,50.6789,156.125,26.55,73,18,16.06
40,Lebu,CL,2021-04-06 21:16:16,-37.6167,-73.65,58.55,87,100,8.28
41,Port Shepstone,ZA,2021-04-06 21:14:39,-30.7414,30.455,70.0,92,100,13.67
42,Ushuaia,AR,2021-04-06 21:16:16,-54.8,-68.3,51.8,62,75,6.91
43,Butaritari,KI,2021-04-06 21:16:16,3.0707,172.7902,80.11,76,100,4.29
44,Hilo,US,2021-04-06 21:16:17,19.7297,-155.09,69.8,83,90,10.36
45,Rikitea,PF,2021-04-06 21:16:17,-23.1203,-134.9692,76.86,72,9,10.04
46,Sigli,ID,2021-04-06 21:16:18,5.3848,95.9609,77.97,83,93,4.25
47,Port Hardy,CA,2021-04-06 21:16:18,50.6996,-127.4199,48.2,71,75,10.36
48,Tianpeng,CN,2021-04-06 21:16:18,30.9866,103.9393,57.0,1,100,4.05
49,Iqaluit,CA,2021-04-06 21:16:19,63.7506,-68.5145,14.0,92,90,5.75
50,Nantucket,US,2021-04-06 21:12:45,41.2835,-70.0995,44.01,85,95,13.62
51,Vila Franca Do Campo,PT,2021-04-06 21:16:19,37.7167,-25.4333,59.0,94,40,4.61
52,Sorland,NO,2021-04-06 21:16:19,67.667,12.6934,35.6,69,75,29.93
53,Thompson,CA,2021-04-06 21:16:20,55.7435,-97.8558,39.2,56,20,2.3
54,Tuktoyaktuk,CA,2021-04-06 21:16:20,69.4541,-133.0374,-9.4,77,75,11.5
55,Port Lincoln,AU,2021-04-06 21:16:20,-34.7333,135.8667,62.76,82,0,7.87
56,Cape Town,ZA,2021-04-06 21:16:21,-33.9258,18.4232,64.0,88,0,11.5
57,Say,NE,2021-04-06 21:16:21,13.1007,2.3689,91.4,8,100,2.3
58,Kalanguy,RU,2021-04-06 21:16:21,51.0167,116.5167,23.49,62,16,1.86
59,Hobart,AU,2021-04-06 21:15:45,-42.8794,147.3294,53.6,87,20,5.75
60,Fort Nelson,CA,2021-04-06 21:16:22,58.8053,-122.7002,28.4,74,90,9.22
61,Tasiilaq,GL,2021-04-06 21:16:22,65.6145,-37.6368,21.2,93,100,20.71
62,Nerl,RU,2021-04-06 21:16:22,56.6628,40.3893,34.74,90,100,6.29
63,Tiksi,RU,2021-04-06 21:16:23,71.6872,128.8694,-13.2,99,44,6.24
64,Vao,NC,2021-04-06 21:16:23,-22.6667,167.4833,75.61,65,90,15.41
65,Alofi,NU,2021-04-06 21:16:24,-19.0595,-169.9187,82.4,78,40,5.75
66,Punta Arenas,CL,2021-04-06 21:16:24,-53.15,-70.9167,48.2,87,90,12.66
67,Cabo San Lucas,MX,2021-04-06 21:16:24,22.8909,-109.9124,80.6,60,1,4.61
68,Teya,RU,2021-04-06 21:16:25,60.3778,92.6267,33.51,86,100,9.1
69,Bethel,US,2021-04-06 21:16:25,41.3712,-73.414,66.2,22,1,14.97
70,Mabaruma,GY,2021-04-06 21:16:25,8.2,-59.7833,77.22,93,100,4.99
71,Sobolevo,RU,2021-04-06 21:16:26,54.4299,31.8996,34.88,70,100,3.85
72,Ust-Kuyga,RU,2021-04-06 21:16:26,70.0167,135.6,-21.96,99,95,4.0
73,Nadym,RU,2021-04-06 21:16:26,65.5333,72.5167,29.89,95,100,16.28
74,Victoria,HK,2021-04-06 21:16:27,22.2855,114.1577,73.0,81,87,1.01
75,Te Anau,NZ,2021-04-06 21:16:27,-45.4167,167.7167,49.1,85,27,0.78
76,New Norfolk,AU,2021-04-06 21:16:27,-42.7826,147.0587,52.0,81,56,2.37
77,Tecoanapa,MX,2021-04-06 21:16:28,16.5167,-98.75,86.5,45,100,10.13
78,Grindavik,IS,2021-04-06 21:13:56,63.8424,-22.4338,24.8,68,0,4.61
79,Albany,US,2021-04-06 21:16:28,42.6001,-73.9662,66.0,14,5,1.99
80,Arraial Do Cabo,BR,2021-04-06 21:16:28,-22.9661,-42.0278,77.0,69,20,10.36
81,Puerto Ayora,EC,2021-04-06 21:16:29,-0.7393,-90.3518,80.6,83,20,9.22
82,Saint-Philippe,RE,2021-04-06 21:16:29,-21.3585,55.7679,78.8,69,0,5.75
83,Cotonou,BJ,2021-04-06 21:16:29,6.3654,2.4183,84.2,84,40,11.5
84,Souillac,MU,2021-04-06 21:16:30,-20.5167,57.5167,77.0,94,40,6.91
85,Cayenne,GF,2021-04-06 21:16:30,4.9333,-52.3333,81.0,94,75,3.44
86,Saldanha,ZA,2021-04-06 21:16:30,-33.0117,17.9442,64.4,52,4,4.61
87,Eenhana,NA,2021-04-06 21:16:31,-17.4667,16.3333,69.8,83,87,2.3
